key#value
Name der Unit#B11.1 Theoretische Grundlagen der Informatik (SL)
Name des zugeordneten Moduls#B11 Theoretische Grundlagen der Informatik
Sprache#Deutsch
Anteil Workload für die Unit#75%
Anteil der Präsenzzeit in SWS#2 SWS
Lernform#Seminaristischer Lehrvortrag
Inhalte der Unit#mathematische Grundlagen (Restklassenarithmetik, Relationen, , Aussagenlogik, )
Inhalte der Unit1#formale Sprachen und ihre Darstellung durch Grammatiken, reguläre Ausdrücke und endliche Automaten
Inhalte der Unit2#Zeichenkodierung , Zahlendarstellung und Rechnerarithmetik
Literatur#Hopcroft, Ullman: Einführung in die Automatentheorie, Formale Sprachen und Komplexitätstheorie, Addison-Wesley, 2004
Literatur1#Eirund, H., Müller, B. und Schreiber, G.: Formale Beschreibungsverfahren der Informatik, Teubner-Verlag, 2000
Literatur2#Friedl: Reguläre Ausdrücke, O'Reilly, 2003
Hinweise#-
