key#value
Modulname#B11 Theoretische Grundlagen der Informatik
Modulverantwortliche/r#Prof. Dr. Albrecht Fortenbacher
Dozent/in#Prof. Dr. Albrecht Fortenbacher, Prof. Dr. Jürgen Sieck
Semesterzugehörigkeit#1. Semester
Dauer#ein Semester
Status des Moduls#Pflichtmodul
Häufigkeit des Angebots#in jedem Semester
ECTS-Punkte#5
Gesamtworkload#150 Stunden
Präsenzzeit des Moduls in SWS#3 SWS
Prüfungsform#Modulprüfung: Klausur; Prüfungsvorleistungen: erfolgreich absolvierte studienbegleitende Übungsaufgaben
Prüfungsbewertung#differenziert nach Noten
Niveaustufe#1a (voraussetzungsfreies Modul, in Bachelorstudiengängen)
Lernergebnis#Verständnis formaler Sprachen und ihres Einsatzes in der Informatik
Lernergebnis1#Kenntnis verschiedener Codierungen, Verständnis für Rechnerarithmetik
Lernergebnis2#Fähigkeiten, theoretische Modelle in einem praktischen Kontext anzuwenden
Lernergebnis3#Kenntnisse über theoretische und praktische Möglichkeiten und Grenzen der Informatik
Notwendige Voraussetzungen#keine
Empfohlene Voraussetzungen#keine
zugeordnete Units#B11.1 Theoretische Grundlagen der Informatik (SL)
zugeordnete Units1#B11.2 Theoretische Grundlagen der Informatik (Ü)
Verwendbarkeit des Moduls#keine
Anerkannte Module#keine
Hinweise#Medienformen: Folien-Präsentationen über Beamer, Programmdemonstrationen, Tafelanschrieb
