key#value
Name der Unit#B11.2 Theoretische Grundlagen der Informatik (Ü)
Name des zugeordneten Moduls#B11.2 Theoretische Grundlagen der Informatik (Ü)
Sprache#Deutsch
Anteil Workload für die Unit#25%
Anteil der Präsenzzeit in SWS#1 SWS
Lernform#Übung
Inhalte der Unit#Zahlsysteme
Inhalte der Unit1#Codes, Rechnerarithmetik
Inhalte der Unit2#reguläre Ausdrücke in Programmiersprachen
Inhalte der Unit3#Darstellung formaler Sprachen
Literatur#Becker, Molitor: Technische Informatik - eine einführende Darstellung, Oldenbourg, 2008
Hinweise#-
